index,tweet,label,predicted_language
10001,"अमर उजाला दैनिक समाचार में हेड लाइन में प्रकाशित ""मुर्दे से भी चुनाव में अशांति फैलाने का डर"" के सम्बंध में खंडन।
#UPPolice 
#AssemblyElections2022 
#YourVoteMatters 
#AgelessDemocracy https://t.co/Aa0IzHq6ct",0,4
10002,"बीजेपी @BJP4India केन्द्रीय चुनाव समिति की मीटिंग 19 जनवरी को हो सकती है। 
यूपी, उत्तराखंड, पंजाब और गोवा के उम्मीदवारों पर होगा फ़ैसला
#AssemblyElections2022",0,4
10003,"#AssemblyElections2022 प्रभारी निरीक्षक गौर श्री संजय कुमार व नायब तहसीलदार हरैया महोदय द्वारा #मतदान_केंद्रों का निरीक्षण किया गया।
#YourVoteMatters https://t.co/gk5sVkMxlN",0,4
10004,"#ब्रेकिंग - मध्यप्रदेश सीहोर में हैवानियत 10 साल की बच्ची को दुष्कर्म के बाद कुएं में फेंका !!

#AssemblyElections2022 #News https://t.co/QkeHVEJUtS",0,4
10006,"#AmitShah ने कहा उत्तर प्रदेश में पूर्ववर्ती सरकारों के दौरान माफिया राज था और खुले आम जबरन वसूली की जाती थी. लेकिन योगी आदित्यनाथ सरकार के तहत पिछले पांच वर्षों में स्थिति बदल गई है.

#UPElections2022 #Elections2022 #AssemblyElections2022 

https://t.co/dyZQS1G6Nh",0,4
10007,"#BastiPolice विधान सभा चुनाव-2022 के दृष्टिगत थाना मुण्डेरवा पुलिस द्वारा संदिग्ध व्यक्तियों/वाहनों की चेकिंग की गई-
#YourVoteMatters 
#AgelessDemocracy
#AssemblyElections2022 https://t.co/F4v8MVfcur",0,4
10009,"मणिपुर: उग्रवादी संगठन के भाजपा को समर्थन वाले बयान पर कांग्रेस नाराज़, चुनाव आयोग से शिकायत 

#Manipur #Congress #BJP #AssemblyElections2022 #मणिपुर #कांग्रेस #भाजपा #विधानसभाचुनाव2022

https://t.co/lWrHQkB5Fu",0,4
10010,उत्तर प्रदेश में सातवें और अंतिम चरण के लिए आज चुनाव हो रहा है। नौ जिलों के 54 विधानसभा क्षेत्रों में मतदाता पोलिंग बूथ पर पहुंचे हैं। नौ बजे तक सभी जिलों में 8.58 प्रतिशत मतदान हुआ है। #AssemblyElections2022 https://t.co/o5snNs440l,0,4
10013,"विधान सभा चुनाव: उत्तर प्रदेश में किसी से गठबंधन नहीं करेगी शिवसेना
@rautsanjay61
#NewsDankaHindi #AssemblyElections2022 #utterpradesh #Shivsena #SanjayRaut 

https://t.co/d5l7UC7xYJ",0,4
10014,"#SSP_Aligarh के निर्देशन में #AligarhPolice ने अर्द्धसैनिक बलों के साथ #AssemblyElections2022 के दृष्टिगत शान्ति एवं कानून व्यवस्था बनाए रखने तथा आदर्श चुनाव आचार संहिता के अनुपालन हेतु फ्लैग मार्च कर लोगों से निडर होकर मतदान की अपील की । 
#YourVoteMatters
#AgelessDemocracy https://t.co/lu4cBjzb2W",0,4
